Matched,Unmatched
0.375,0
0.111111111,0
0.111111111,0
0.222222222,0.055555556
0,0
0.272727273,0.2
0,0
0,0.0625
0,0
0,0.176470588
0.111111111,0
0,0
0,0
0.153846154,0
0,0
0,0
0.153846154,0
0,0.133333333
0.3,0
0.551724138,0
0.277777778,0.333333333
0,0.333333333
0.538461538,0.210526316
0,0.111111111
0.230769231,0
0.368421053,0.090909091
0.333333333,0.307692308
0.272727273,0
0.4,0.222222222
0,
0.1,
